"damage","rifle","sniper","pistol","smg","grenade","preplant.kill","postplant.kill","total.kills","total.deaths","avg.kill.time","assists","alone.kills","Avg.Distance.to.A.bomb..on.kill.","alone_death","total_distance_traveled","Role"
766,0,2,0,2,1,4,1,5,9,542.1868,11,2,513.1887936,4,5439.633153,"4"
672,4,0,0,0,0,4,0,4,9,674.6066667,6,1,460.163008,2,3740.745195,"2"
1342,8,4,1,0,0,13,0,13,7,181.8792583,12,1,206.3097753,1,4159.237182,"1"
1462,4,12,0,1,0,16,1,17,6,137.3041375,13,2,140.2336671,1,3284.262197,"3"
739,4,0,1,0,0,5,0,5,8,346.880975,9,0,391.4524175,2,3158.896163,"2"
416,2,0,0,0,0,2,0,2,8,1214.3722,4,0,1132.801406,2,2726.481618,"2"
673,2,4,0,0,0,5,1,6,7,245.81248,7,2,228.2281306,2,4900.21955,"2"
737,3,2,1,0,0,3,3,6,8,318.42976,9,0,409.3354851,1,3149.434362,"0"
1617,12,6,0,0,0,16,2,18,5,129.9664647,13,3,152.8083965,2,5308.296668,"3"
371,4,0,0,0,0,3,1,4,10,571.3058667,5,0,553.8484844,3,3037.112542,"2"
609,3,1,0,0,0,4,0,4,10,402.3736667,3,2,289.6702101,4,4539.812164,"2"
701,3,3,0,0,0,6,0,6,7,444.4954,10,1,529.0161112,1,4974.175124,"0"
1146,5,0,0,3,0,6,2,8,11,282.7344571,17,2,226.9228526,3,4831.585857,"2"
861,1,0,0,8,0,7,2,9,5,280.725175,12,2,270.0897208,1,5087.514465,"2"
1422,9,3,0,2,0,10,4,14,8,107.2055154,16,3,81.59022202,1,4739.391052,"1"
877,6,0,0,3,0,8,1,9,7,235.5041375,14,1,255.4443497,1,4563.533961,"0"
1074,4,8,0,0,0,10,2,12,11,198.789,11,0,189.1241889,1,4496.479823,"3"
478,1,0,1,2,0,4,0,4,10,386.8843333,7,1,212.3457611,2,4016.431516,"3"
1203,6,0,1,1,0,5,3,8,9,232.1967143,15,2,264.3647153,3,5634.597302,"2"
630,5,0,1,1,0,6,1,7,7,241.1943333,3,1,186.0487821,2,3910.638219,"2"
100,1,0,0,0,0,1,0,1,2,0,0,1,0,1,29.33098701,"1"
336,0,3,0,1,0,2,2,4,2,86.46383333,3,0,31.92765368,1,1268.61758,"1"
228,1,0,0,0,0,1,0,1,4,0,3,1,0,1,1810.116918,"1"
183,0,1,0,0,0,1,0,1,4,0,3,0,0,0,645.0143242,"1"
165,0,0,0,0,0,0,1,1,2,0,3,1,0,0,1584.454166,"1"
716,0,9,0,0,0,7,2,9,1,53.748175,7,5,31.12647924,0,606.0017841,"3"
107,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1091.085747,"1"
126,1,0,0,0,0,1,0,1,3,0,2,0,0,0,458.3501884,"1"
479,0,1,1,3,0,2,3,5,2,41.8827,1,0,63.15407635,1,1592.489347,"1"
15,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"1"
940,6,0,0,0,0,5,2,7,26,281.4237,14,0,185.9087407,2,6199.436964,"2"
1233,9,0,0,1,0,10,0,10,8,186.1710222,16,1,158.1556386,2,3155.162668,"2"
1601,6,5,2,2,0,10,5,15,14,127.4801214,19,1,115.1337872,0,5680.616061,"1"
1029,8,1,2,0,0,8,3,11,17,184.27047,15,1,152.6578994,5,4674.072436,"1"
978,8,2,0,0,0,10,0,10,9,222.4438,10,2,182.617568,2,3357.226837,"2"
743,8,1,0,0,0,7,2,9,8,212.34545,11,1,254.624902,1,6200.686265,"0"
1067,12,1,0,0,0,5,8,13,9,150.6986667,10,9,145.0821519,5,3698.134698,"4"
707,12,3,0,0,0,10,5,15,10,126.5982643,8,8,123.0903514,4,4860.466058,"4"
1385,0,0,0,0,0,11,1,12,10,171.1328182,14,1,173.3190023,2,4055.377468,"1"
637,3,4,0,0,0,6,1,7,8,261.0612,8,1,255.6540424,1,4430.103975,"0"
789,4,3,0,0,2,5,4,9,10,211.6506,16,3,211.1693131,4,4739.919991,"4"
712,0,2,0,2,0,4,1,5,8,543.0432,9,0,554.1562295,1,3491.948123,"3"
1153,5,1,1,2,0,9,0,9,10,195.59665,10,1,230.4604322,2,3947.665199,"2"
1914,17,2,0,0,1,16,4,20,5,118.2023211,19,8,121.1596949,1,4311.306823,"1"
864,0,8,0,0,0,6,2,8,8,243.8422,9,2,216.9042236,1,3834.039704,"3"
